model,price,year,engine_capacity,engine_power,engine_type,transmition_type,drive_type,mileage
BMW X7,7600000,2019,3.0,249,дизель,АКПП,4WD,78
BMW X7,7500000,2019,3.0,249,дизель,АКПП,4WD,42
BMW X7,7450000,2019,3.0,249,дизель,АКПП,4WD,47
BMW 5-Series,7280000,2021,3.0,249,дизель,АКПП,4WD,4
BMW X5,7150000,2019,3.0,249,дизель,АКПП,4WD,35
BMW 5-Series,7100000,2020,3.0,249,дизель,АКПП,4WD,31
Mercedes-Benz GLE,7000000,2020,3.0,367,гибрид,АКПП,4WD,33
BMW X5,6965000,2019,3.0,249,дизель,АКПП,4WD,43
BMW X6,6950000,2019,3.0,249,дизель,АКПП,4WD,75
BMW X5,6900000,2019,3.0,249,дизель,АКПП,4WD,40
BMW X5,6730000,2018,3.0,249,дизель,АКПП,4WD,40
Mercedes-Benz G-Class,6600000,2015,5.5,585,бензин,автомат,4WD,87
Audi Q7,6550000,2020,3.0,249,дизель,АКПП,4WD,51
Mercedes-Benz GLE,6550000,2019,3.0,367,гибрид,АКПП,4WD,33
Mercedes-Benz Vito,6500000,2021,2.1,190,дизель,АКПП,4WD,18
Mercedes-Benz GLE,6500000,2019,3.0,367,гибрид,АКПП,4WD,59
Mercedes-Benz GLE,6500000,2019,3.0,367,гибрид,АКПП,4WD,56
Mercedes-Benz GLE,6200000,2019,3.0,367,гибрид,АКПП,4WD,55
Mercedes-Benz S-Class,6000000,2017,3.0,367,бензин,АКПП,задний,25
Mercedes-Benz GLS-Class,6000000,2016,3.0,333,бензин,АКПП,4WD,16
Land Rover Range Rover,5999000,2016,5.0,510,бензин,АКПП,4WD,90
Mercedes-Benz S-Class,5950000,2017,3.0,367,бензин,АКПП,задний,45
BMW X5,5900000,2020,3.0,249,дизель,АКПП,4WD,51
BMW 5-Series,5900000,2020,3.0,249,дизель,АКПП,4WD,50
BMW X5,5820000,2018,3.0,340,бензин,АКПП,4WD,50
Mercedes-Benz GLE Coupe,5800900,2018,3.0,333,бензин,АКПП,4WD,41
Infiniti QX80,5800000,2018,5.6,405,бензин,АКПП,4WD,125
Mercedes-Benz GLE Coupe,5750000,2018,3.0,333,бензин,АКПП,4WD,80
Mercedes-Benz GLE,5700000,2019,3.0,367,гибрид,АКПП,4WD,76
Mercedes-Benz GLE,5650000,2020,2.0,245,дизель,АКПП,4WD,55
Mercedes-Benz GLC Coupe,5650000,2020,2.0,249,бензин,АКПП,4WD,47
Mercedes-Benz GLE,5570000,2019,2.0,245,дизель,АКПП,4WD,31
Infiniti QX80,5500000,2019,5.6,405,бензин,АКПП,4WD,30
Infiniti QX80,5455000,2018,5.6,405,бензин,АКПП,4WD,83
Mercedes-Benz GLC Coupe,5295000,2020,2.0,249,бензин,АКПП,4WD,16
Mercedes-Benz GLS-Class,5250000,2017,3.0,333,бензин,АКПП,4WD,36
BMW M5,5200000,2018,4.4,600,бензин,автомат,4WD,72
BMW i8,5200000,2016,1.5,231,гибрид,АКПП,4WD,25
Land Rover Range Rover Velar,5200000,2018,2.0,240,дизель,АКПП,4WD,15
BMW X5,5150000,2019,3.0,249,дизель,автомат,4WD,90
BMW X5,5100000,2018,3.0,381,дизель,АКПП,4WD,47
BMW X5,5000000,2018,4.4,575,бензин,АКПП,4WD,66
BMW X6,4950000,2019,4.4,575,бензин,АКПП,4WD,25
Mercedes-Benz GLS-Class,4950000,2016,3.0,333,бензин,АКПП,4WD,97
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
BMW 4-Series,4900000,2022,2.0,183,бензин,автомат,задний,1
